Student Number,First Name,Last Name,Email
280302930,Ashleigh,Wong,280302930@amazing.email.com
509825023,Sophie,Liang,509825023@amazing.email.com
530246127,Lewin,Lin,530246127@amazing.email.com
432604438,Param,Patel,432604438@amazing.email.com
614577913,Manjot,Jagdev,614577913@amazing.email.com
497322166,Evan,Khuu,497322166@amazing.email.com
251592045,Allison,Renahan,251592045@amazing.email.com
799755495,Karun,Krishnavelautham,799755495@amazing.email.com
471915074,Jenny,Zhu,471915074@amazing.email.com
867241483,Arvindh,Sengu,867241483@amazing.email.com
812922508,Deen,Butt,812922508@amazing.email.com
597632328,Nicholas,Cheng,597632328@amazing.email.com
